hand_type,2,3,4,5,6,7,8,9,T,J,Q,K,A
Straight Flush,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
Four of a Kind,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Full House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Flush,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
Straight,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99
Three of a Kind,0.99,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0
Two Pair,0.99,0.96,0.98,0.98,0.98,0.97,0.97,0.98,0.98,0.98,0.97,0.97,0.95
Pair A,0.92,0.92,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.9
Pair K,0.91,0.91,0.89,0.9,0.9,0.9,0.91,0.91,0.9,0.9,0.9,0.86,0.76
Pair Q,0.87,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.84,0.72,0.74
Pair J,0.86,0.85,0.86,0.86,0.87,0.86,0.86,0.86,0.86,0.85,0.71,0.72,0.71
Pair T,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.68,0.68,0.67,0.67
Pair 9,0.82,0.81,0.82,0.82,0.82,0.82,0.82,0.81,0.66,0.67,0.66,0.67,0.67
Pair 8,0.78,0.78,0.79,0.78,0.79,0.79,0.73,0.61,0.61,0.61,0.61,0.61,0.61
Pair 7,0.76,0.75,0.77,0.76,0.76,0.75,0.59,0.59,0.59,0.59,0.59,0.6,0.6
Pair 6,0.73,0.73,0.73,0.73,0.64,0.58,0.58,0.57,0.58,0.58,0.59,0.57,0.58
Pair 5,0.73,0.72,0.72,0.72,0.56,0.56,0.56,0.58,0.57,0.56,0.57,0.56,0.56
Pair 4,0.7,0.7,0.68,0.54,0.54,0.55,0.55,0.54,0.54,0.55,0.53,0.55,0.54
Pair 3,0.66,0.62,0.53,0.53,0.53,0.52,0.53,0.52,0.53,0.51,0.51,0.52,0.52
Pair 2,0.61,0.5,0.49,0.5,0.49,0.51,0.5,0.5,0.51,0.5,0.51,0.49,0.5
High A,0.48,0.5,0.48,0.47,0.47,0.47,0.48,0.46,0.47,0.45,0.46,0.48,0.45
High K,0.47,0.46,0.48,0.47,0.47,0.48,0.48,0.47,0.46,0.48,0.46,0.38,0.13
High Q,0.4,0.39,0.26,0.42,0.4,0.4,0.4,0.39,0.43,0.38,0.38,0.18,0.06
High J,0.42,0.31,0.44,0.46,0.43,0.44,0.43,0.44,0.45,0.43,0.41,0.41,0.35
High Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
